fami_educacionmadre_num,cole_naturaleza_num,punt_global_scaled
12,2,0.06502115373731154
9,2,1.3255072421083338
8,2,-1.1496290768747646
11,2,0.7525590201215056
11,2,1.715112033059377
11,2,0.8671486645188712
11,2,2.035963037372001
12,2,0.660887304603613
11,2,0.7296410912420324
12,2,0.8900665933983444
12,2,0.6838052334830861
12,2,1.6005223886620115
12,2,0.7067231623625593
12,2,2.3568140416846246
12,2,1.9672092507335817
12,2,1.6692761753004308
12,2,-0.37041949497267795
12,2,1.1421638110725487
10,2,2.17347061064884
11,2,1.4859327442646457
7,2,-1.745495227741066
11,2,0.6379693757241398
12,2,0.9817383089162368
9,2,0.34003630029098914
11,2,1.6463582464209576
11,2,1.6005223886620115
11,2,0.08793908261678468
9,2,0.7067231623625593
11,2,2.058880966251474
9,2,-0.003732632901107851
11,2,-1.607987654464227
11,2,0.7983948778804518
11,2,1.9213733929746353
12,2,1.1192458821930757
10,2,3.1589415524661844
11,2,1.508850673144119
12,2,1.3255072421083338
4,2,-2.7080482406789375
12,2,1.2338355265904413
12,2,1.7609478908183234
12,2,1.508850673144119
3,2,1.8297016774567427
3,2,0.8671486645188712
11,2,2.17347061064884
11,2,1.00465623779571
7,2,1.0275741666751832
11,2,0.13377494037573096
4,1,0.8213128067599249
12,2,-0.43917328161109737
11,2,1.1192458821930757
9,1,0.9129845222778175
6,1,-0.11832227729847351
6,1,-1.1496290768747646
3,1,-1.1496290768747646
5,1,0.5004618024473011
7,1,0.04210322485783841
9,2,0.6838052334830861
7,1,-0.48500913937004364
11,2,1.3255072421083338
7,2,-0.07248641953952725
10,1,-0.6683525704058287
6,1,-0.37041949497267795
5,2,-0.5766808548879362
9,1,0.6150514468446667
6,1,-1.3100545790310765
6,1,-1.3558904367900226
7,1,0.47754387356782796
3,1,0.13377494037573096
3,2,0.7296410912420324
10,2,-0.3475015660932048
9,2,0.317118371411516
6,1,-1.8830028010179047
12,2,1.187999668831495
11,1,-0.16415813505741977
12,2,0.8900665933983444
7,1,1.00465623779571
3,2,0.5692155890857205
9,2,0.04210322485783841
11,1,0.29420044253204286
7,1,-0.4620912104905705
6,1,-0.37041949497267795
7,1,0.7296410912420324
11,2,-0.5995987837674093
12,1,-0.6912704992853018
4,2,-0.6912704992853018
11,1,-0.27874777945478546
7,1,0.13377494037573096
7,1,0.3629542291704623
7,1,-0.6225167126468825
9,1,-0.11832227729847351
4,1,-1.4704800811873884
9,2,1.0963279533136026
7,2,0.40879008692940855
4,1,0.2712825136525697
2,1,-0.3016657083342586
9,1,-1.1725470057542375
7,1,-0.3016657083342586
7,1,-0.7371063570442481
5,1,-0.9433677169595063
11,2,0.8900665933983444
11,1,0.22544665589362348
11,2,0.6838052334830861
6,1,-1.2413007923926571
7,1,0.15669286925520406
7,1,0.40879008692940855
9,1,-0.27874777945478546
11,2,1.165081739952022
9,2,0.5462976602062474
9,1,0.8213128067599249
7,2,1.2338355265904413
12,2,2.2880602550462052
9,2,1.6005223886620115
9,2,0.29420044253204286
9,1,-1.0350394324773988
6,1,-0.6683525704058287
10,2,0.7296410912420324
7,1,-0.3016657083342586
7,1,1.7838658196977966
6,1,0.1796107981346772
12,2,0.5921335179651936
11,2,0.8442307356393981
6,1,-1.3788083656694958
11,2,0.20252872701415034
5,1,0.4317080158088817
6,1,0.4546259446883548
9,1,0.7983948778804518
8,1,0.34003630029098914
11,2,0.22544665589362348
7,1,-0.89753185920056
7,1,0.9588203800367637
11,1,1.3255072421083338
6,1,-0.14124020617794664
4,1,-0.2558298505753123
11,2,0.1796107981346772
9,1,1.3713430998672802
8,2,0.5921335179651936
9,1,0.2483645847730966
6,1,-0.14124020617794664
4,1,-0.6454346415263555
4,1,-1.6767414411026464
11,2,0.11085701149625782
4,1,0.6379693757241398
4,1,-0.23291192169583919
11,2,0.5692155890857205
7,1,-0.6912704992853018
7,1,-0.8516960014416137
6,1,-0.3016657083342586
6,1,-0.20999399281636605
6,1,0.22544665589362348
7,2,-0.5079270682495167
7,2,0.7296410912420324
11,1,1.187999668831495
5,2,0.40879008692940855
6,2,0.4546259446883548
7,2,-1.1496290768747646
12,2,1.2567534554699145
7,1,-0.16415813505741977
7,1,-1.7913310855000122
11,1,-0.2558298505753123
9,1,-2.089264160933163
7,1,0.22544665589362348
7,1,-0.16415813505741977
11,1,-0.049568490660054115
5,1,-0.8516960014416137
9,1,-0.32458363721373173
3,1,-0.049568490660054115
9,1,0.2483645847730966
11,1,0.3629542291704623
7,1,-0.6912704992853018
9,1,2.035963037372001
6,1,-0.8516960014416137
9,1,1.2567534554699145
9,1,-0.27874777945478546
7,1,-0.2558298505753123
4,1,-0.20999399281636605
5,1,0.22544665589362348
7,1,-0.20999399281636605
6,1,0.20252872701415034
7,1,-1.5392338678258077
11,1,0.7983948778804518
6,1,0.1796107981346772
11,2,1.554686530903065
4,1,-0.2558298505753123
9,1,0.7754769490009786
4,1,0.7525590201215056
9,1,0.29420044253204286
6,1,-0.7600242859237212
7,1,0.6838052334830861
11,1,-1.585069725584754
9,1,0.4546259446883548
11,2,0.3858721580499354
8,1,0.5004618024473011
4,1,-0.6912704992853018
11,2,1.4171789576262264
5,1,-0.5308449971289899
11,2,0.2712825136525697
11,2,1.554686530903065
7,1,0.1796107981346772
9,1,0.4317080158088817
7,1,-1.3100545790310765
11,1,1.3942610287467532
7,1,-1.4933980100668616
6,2,0.7983948778804518
7,2,1.1421638110725487
6,1,0.2483645847730966
9,1,-1.9975924454152705
11,2,0.7067231623625593
7,2,0.3858721580499354
11,2,1.0504920955546562
4,1,-1.080875290236345
12,2,0.5233797313267742
4,1,-0.11832227729847351
4,1,0.3858721580499354
6,2,0.13377494037573096
9,2,1.715112033059377
11,2,1.165081739952022
6,1,-0.6912704992853018
12,2,0.29420044253204286
9,1,1.2338355265904413
6,2,-0.049568490660054115
9,1,0.29420044253204286
7,1,0.5921335179651936
11,1,1.1192458821930757
9,2,-0.09540434841900038
7,2,-1.1954649346337107
9,1,1.2796713843493877
12,2,1.531768602023592
11,2,-1.080875290236345
7,1,-0.8516960014416137
9,1,0.4546259446883548
11,1,0.7525590201215056
7,1,-0.2558298505753123
11,2,-0.4620912104905705
7,1,-0.553762926008463
7,1,0.22544665589362348
7,1,-1.26421872127213
11,1,-0.8058601436826675
12,1,-0.3016657083342586
6,1,-0.7829422148031944
11,2,0.8442307356393981
7,2,0.13377494037573096
4,1,0.2483645847730966
8,1,0.7296410912420324
4,1,0.5233797313267742
6,1,0.7525590201215056
7,2,-0.5766808548879362
7,1,-1.0121215035979256
4,1,-1.218382863513184
7,2,0.6150514468446667
4,1,0.1796107981346772
11,1,0.47754387356782796
7,1,-0.2558298505753123
7,1,-0.37041949497267795
11,2,1.3025893132288606
7,1,0.7754769490009786
11,1,1.1421638110725487
11,2,0.29420044253204286
7,2,1.4859327442646457
9,1,0.22544665589362348
7,1,-1.7225772988615928
11,1,0.34003630029098914
11,2,-0.7600242859237212
4,1,-0.89753185920056
7,1,-1.951756587656324
6,1,0.40879008692940855
9,1,0.2712825136525697
11,2,0.7754769490009786
7,1,-0.32458363721373173
11,2,0.8671486645188712
7,1,-0.07248641953952725
3,1,-0.4620912104905705
11,1,-0.9433677169595063
7,1,-0.23291192169583919
7,1,0.317118371411516
4,2,-0.049568490660054115
10,2,0.317118371411516
7,1,0.5692155890857205
9,2,1.2567534554699145
11,2,1.2338355265904413
11,1,-0.11832227729847351
11,1,0.5692155890857205
5,2,-0.11832227729847351
7,1,0.06502115373731154
12,1,0.20252872701415034
7,1,-1.218382863513184
11,2,0.7525590201215056
10,2,1.0275741666751832
5,1,-0.48500913937004364
12,2,0.8442307356393981
4,1,-2.5705406674020987
12,1,0.9129845222778175
9,1,-0.6683525704058287
12,2,-0.049568490660054115
11,2,0.7067231623625593
12,2,1.3942610287467532
9,1,-0.09540434841900038
7,2,0.06502115373731154
7,1,0.29420044253204286
12,2,-0.5079270682495167
6,1,0.8213128067599249
6,1,1.2567534554699145
7,1,-0.7829422148031944
11,1,1.4859327442646457
12,2,2.081798895130947
8,1,-0.8287780725621406
7,2,-0.553762926008463
4,1,0.06502115373731154
11,1,1.1421638110725487
4,1,-1.7913310855000122
4,1,-0.27874777945478546
7,1,0.13377494037573096
9,2,1.165081739952022
11,1,-0.003732632901107851
11,1,-0.11832227729847351
7,1,0.13377494037573096
9,1,0.2712825136525697
10,2,0.13377494037573096
9,1,-0.3933374238521511
6,1,1.7380299619388502
9,1,-0.9204497880800332
10,2,0.660887304603613
4,1,0.08793908261678468
8,1,0.13377494037573096
11,2,0.22544665589362348
7,1,1.6005223886620115
11,2,1.3942610287467532
5,1,-0.43917328161109737
11,1,0.5921335179651936
12,1,-0.16415813505741977
7,1,0.20252872701415034
10,1,0.40879008692940855
11,1,0.5921335179651936
9,1,-0.9204497880800332
6,1,-0.8746139303210869
11,2,1.0963279533136026
7,1,2.1276347528898936
9,2,0.8671486645188712
4,1,0.4317080158088817
12,1,0.4317080158088817
11,2,1.9901271796130546
7,1,-0.5995987837674093
6,1,1.0963279533136026
7,1,0.6838052334830861
6,1,-0.4620912104905705
11,2,0.7525590201215056
5,1,-1.0121215035979256
9,1,0.4546259446883548
5,1,-0.4620912104905705
